,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,61.0,1188.0,996.0,1414.0,757.0,978.0,555.0,1253.0,1645.0,670.0,1189.0,1152.0,1061.0,1197.0,957.0,1614.0,1213.0,894.0,2551.0,527.0,1184.0,3132.0,1309.0
1,61.0,1.0,1155.0,1023.0,1455.0,715.0,940.0,480.0,1191.0,1543.0,620.0,1150.0,1050.0,1040.0,1158.0,960.0,1510.0,1110.0,790.0,2635.0,478.0,1043.0,3228.0,1203.0
2,1188.0,1155.0,1.0,822.0,1895.0,440.0,845.0,801.0,988.0,572.0,1040.0,156.0,773.0,1160.0,1588.0,1634.0,539.0,606.0,705.0,3075.0,770.0,212.0,3668.0,232.0
3,996.0,1023.0,822.0,1.0,2210.0,875.0,23.0,576.0,168.0,860.0,1475.0,970.0,1587.0,338.0,2012.0,2069.0,780.0,1420.0,1295.0,3390.0,545.0,610.0,3983.0,765.0
4,1414.0,1455.0,1895.0,2210.0,1.0,1455.0,2187.0,1696.0,2378.0,2385.0,855.0,1890.0,1620.0,2495.0,750.0,495.0,2352.0,1680.0,1360.0,1180.0,1665.0,1885.0,1773.0,2045.0
5,757.0,715.0,440.0,875.0,1455.0,1.0,898.0,361.0,1043.0,930.0,600.0,435.0,670.0,1213.0,1137.0,1194.0,897.0,500.0,420.0,3635.0,330.0,430.0,3228.0,590.0
6,978.0,940.0,845.0,23.0,2187.0,898.0,1.0,590.0,191.0,883.0,1378.0,993.0,1565.0,315.0,1989.0,2046.0,803.0,1398.0,1318.0,3367.0,568.0,633.0,3960.0,791.0
7,555.0,480.0,801.0,576.0,1696.0,361.0,590.0,1.0,744.0,1138.0,841.0,796.0,916.0,820.0,1378.0,1435.0,1105.0,861.0,656.0,2876.0,31.0,1638.0,3469.0,798.0
8,1253.0,1191.0,988.0,168.0,2378.0,1043.0,191.0,744.0,1.0,960.0,1523.0,1136.0,1710.0,506.0,2060.0,2117.0,948.0,1543.0,1463.0,3558.0,713.0,776.0,4151.0,936.0
9,1645.0,1543.0,572.0,860.0,2385.0,930.0,883.0,1138.0,960.0,1.0,1530.0,770.0,1345.0,1198.0,2200.0,2124.0,99.0,1220.0,1320.0,3565.0,1107.0,500.0,4158.0,340.0
10,670.0,620.0,1040.0,1475.0,855.0,600.0,1378.0,841.0,1523.0,1530.0,1.0,1035.0,765.0,1660.0,537.0,594.0,1497.0,825.0,505.0,2035.0,810.0,1030.0,2628.0,1190.0
11,1189.0,1150.0,156.0,970.0,1890.0,435.0,993.0,796.0,1136.0,770.0,1035.0,1.0,617.0,1308.0,1472.0,1629.0,695.0,450.0,550.0,3070.0,765.0,360.0,3663.0,388.0
12,1152.0,1050.0,773.0,1587.0,1620.0,670.0,1565.0,916.0,1710.0,1345.0,765.0,617.0,1.0,1925.0,855.0,1359.0,1227.0,167.0,260.0,2800.0,885.0,977.0,3393.0,1005.0
13,1061.0,1040.0,1160.0,338.0,2495.0,1213.0,315.0,820.0,506.0,1198.0,1660.0,1308.0,1925.0,1.0,2198.0,2000.0,1118.0,1758.0,1633.0,3675.0,883.0,948.0,4268.0,1106.0
14,1197.0,1158.0,1588.0,2012.0,750.0,1137.0,1989.0,1378.0,2060.0,2200.0,537.0,1472.0,855.0,2198.0,1.0,660.0,2082.0,1022.0,883.0,1930.0,1347.0,1567.0,2523.0,1860.0
15,957.0,960.0,1634.0,2069.0,495.0,1194.0,2046.0,1435.0,2117.0,2124.0,594.0,1629.0,1359.0,2000.0,660.0,1.0,2091.0,1419.0,1099.0,1675.0,1404.0,1624.0,2268.0,1784.0
16,1614.0,1510.0,539.0,780.0,2352.0,897.0,803.0,1105.0,948.0,99.0,1497.0,695.0,1227.0,1118.0,2082.0,2091.0,1.0,1145.0,1245.0,3532.0,1074.0,467.0,4125.0,307.0
17,1213.0,1110.0,606.0,1420.0,1680.0,500.0,1398.0,861.0,1543.0,1220.0,825.0,450.0,167.0,1758.0,1022.0,1419.0,1145.0,1.0,320.0,2860.0,830.0,810.0,3435.0,838.0
18,894.0,790.0,705.0,1295.0,1360.0,420.0,1318.0,656.0,1463.0,1320.0,505.0,550.0,260.0,1633.0,883.0,1099.0,1245.0,320.0,1.0,2540.0,625.0,850.0,3133.0,938.0
19,2551.0,2635.0,3075.0,3390.0,1180.0,3635.0,3367.0,2876.0,3558.0,3565.0,2035.0,3070.0,2800.0,3675.0,1930.0,1675.0,3532.0,2860.0,2540.0,1.0,2845.0,3065.0,593.0,3225.0
20,527.0,478.0,770.0,545.0,1665.0,330.0,568.0,31.0,713.0,1107.0,810.0,765.0,885.0,883.0,1347.0,1404.0,1074.0,830.0,625.0,2845.0,1.0,607.0,3438.0,767.0
21,1184.0,1043.0,212.0,610.0,1885.0,430.0,633.0,1638.0,776.0,500.0,1030.0,360.0,977.0,948.0,1567.0,1624.0,467.0,810.0,850.0,3065.0,607.0,1.0,3658.0,160.0
22,3132.0,3228.0,3668.0,3983.0,1773.0,3228.0,3960.0,3469.0,4151.0,4158.0,2628.0,3663.0,3393.0,4268.0,2523.0,2268.0,4125.0,3435.0,3133.0,593.0,3438.0,3658.0,1.0,3818.0
23,1309.0,1203.0,232.0,765.0,2045.0,590.0,791.0,798.0,936.0,340.0,1190.0,388.0,1005.0,1106.0,1860.0,1784.0,307.0,838.0,938.0,3225.0,767.0,160.0,3818.0,1.0
