"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"1",0,29,-71,-30,-56,-48,-77,-51,37,7,-75,0,-31,-99,-43,-41,-17,-62,-53,-66,-44,-57,-38,-32
"2",-29,0,-109,-49,-89,-80,-107,-81,0,-20,-114,-32,-60,-115,-74,-71,-49,-99,-82,-102,-77,-85,-69,-64
"3",71,109,0,30,19,27,-12,15,140,77,0,73,49,-38,31,26,58,4,14,0,28,19,27,43
"4",30,49,-30,0,-21,-12,-37,-25,0,45,-33,40,-1,-64,-5,-6,14,-23,-16,-33,-6,-29,-3,0
"5",56,89,-19,21,0,5,-29,0,121,59,-11,59,23,-54,8,5,36,-13,-4,-8,8,-5,8,22
"6",48,80,-27,12,-5,0,-30,-8,117,55,-29,54,13,-55,6,4,30,-15,-6,-28,3,-11,3,14
"7",77,107,12,37,29,30,0,26,153,84,-31,90,34,-28,35,34,62,18,24,-7,32,24,36,42
"8",51,81,-15,25,0,8,-26,0,73,62,-7,62,24,-51,7,4,38,-10,0,-3,6,0,12,23
"9",-37,0,-140,0,-121,-117,-153,-73,0,-67,0,-62,-18,-180,-112,0,-82,-135,-127,-76,-118,-121,-115,-106
"10",-7,20,-77,-45,-59,-55,-84,-62,67,0,-112,4,-47,-111,-50,-52,-24,-67,-61,-88,-52,-68,-49,-43
"11",75,114,0,33,11,29,31,7,0,112,0,68,56,2,45,48,62,0,51,0,30,34,65,52
"12",0,32,-73,-40,-59,-54,-90,-62,62,-4,-68,0,-20,-118,-55,-58,-19,-71,-65,-66,-51,-65,-52,-36
"13",31,60,-49,1,-23,-13,-34,-24,18,47,-56,20,0,-58,-5,-6,14,-18,-13,-44,-8,-23,-1,0
"14",99,115,38,64,54,55,28,51,180,111,-2,118,58,0,58,55,80,46,50,0,56,35,63,59
"15",43,74,-31,5,-8,-6,-35,-7,112,50,-45,55,5,-58,0,0,23,-19,-11,-36,0,-16,0,7
"16",41,71,-26,6,-5,-4,-34,-4,0,52,-48,58,6,-55,0,0,25,-17,-10,-27,0,-13,3,8
"17",17,49,-58,-14,-36,-30,-62,-38,82,24,-62,19,-14,-80,-23,-25,0,-49,-37,-57,-25,-39,-26,-14
"18",62,99,-4,23,13,15,-18,10,135,67,0,71,18,-46,19,17,49,0,7,0,17,10,19,29
"19",53,82,-14,16,4,6,-24,0,127,61,-51,65,13,-50,11,10,37,-7,0,-33,9,-5,11,18
"20",66,102,0,33,8,28,7,3,76,88,0,66,44,0,36,27,57,0,33,0,26,27,33,41
"21",44,77,-28,6,-8,-3,-32,-6,118,52,-30,51,8,-56,0,0,25,-17,-9,-26,0,-14,2,9
"22",57,85,-19,29,5,11,-24,0,121,68,-34,65,23,-35,16,13,39,-10,5,-27,14,0,13,24
"23",38,69,-27,3,-8,-3,-36,-12,115,49,-65,52,1,-63,0,-3,26,-19,-11,-33,-2,-13,0,7
"24",32,64,-43,0,-22,-14,-42,-23,106,43,-52,36,0,-59,-7,-8,14,-29,-18,-41,-9,-24,-7,0
