"","x"
"S1",15625084
"S2",2890151
"S3",367828
"S4",1055259
"S5",509108
"S6",3308876
"S7",992595
"S8",1235994
"S9",530162
"S10",673307
"S11",318951
"S12",333642
"S13",1738929
"S14",1101593
"S15",551266
"S16",638645
"S17",1214441
"S18",681055
"S19",432310
"S20",273964
"S21",3194537
"S22",874006
"S23",127205
"S24",1448188
"I1",59
"I2",57
"I3",0
"I4",17
"I5",1
"I6",7
"I7",3
"I8",4
"I9",0
"I10",1
"I11",0
"I12",1
"I13",2
"I14",0
"I15",2
"I16",6
"I17",0
"I18",0
"I19",1
"I20",3
"I21",4
"I22",0
"I23",3
"I24",2
"R1",0
"R2",0
"R3",0
"R4",0
"R5",0
"R6",0
"R7",0
"R8",0
"R9",0
"R10",0
"R11",0
"R12",0
"R13",0
"R14",0
"R15",0
"R16",0
"R17",0
"R18",0
"R19",0
"R20",0
"R21",0
"R22",0
"R23",0
"R24",0
